source_type,source_name,source_file,source_page,chapter_code,chapter_name,section_code,section_name,item_group_name,source_code,standard_name_candidate,unit,work_content,keywords,aliases,feature_template,extraction_confidence,review_status,remark
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,土方人工场内运输,A1-1-31,人力车运土方 100m内,100m3,人力车场内运输土方,人力车;运土方;场内运输,,运距;运输方式,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,人工装土方,A1-1-35,人工装车 土方,100m3,人工装车土方,人工装车;土方,,装车方式;土方类别,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,机械挖土方,A1-1-37,挖掘机挖一般土方 一二类土,1000m3,挖掘机开挖一般土方,机械挖土方;挖掘机;一般土方,,土类别;机械类型,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,机械挖土方,A1-1-40,挖掘机挖淤泥流砂,1000m3,挖掘机开挖淤泥流砂,机械挖土方;淤泥;流砂,,土质类别;机械类型,0.84,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,机械挖装土方,A1-1-44,挖掘机挖装一般土方 一二类土,1000m3,挖掘机开挖并装车一般土方,机械挖装土方;挖掘机;一般土方,,土类别;机械类型;装车方式,0.84,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,机械装土方,A1-1-51,挖掘机装土方,1000m3,挖掘机装载土方,机械装土方;挖掘机,,机械类型;装车方式,0.8,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,机械装土方,A1-1-52,装载机装土方,1000m3,装载机装载土方,装载机;装土方,,机械类型;装车方式,0.8,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,自卸汽车运土方,A1-1-53,自卸汽车运土方 1km内,1000m3,自卸汽车运输土方,自卸汽车;运土方,,运距;运输方式,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,铲运机铲运土方,A1-1-57,铲运机铲运土方 一二类土,1000m3,铲运机铲运土方,铲运机;铲运土方,,土类别;运距;机械类型,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,推土机推土方,A1-1-61,推土机推土方 一二类土,1000m3,推土机推土方,推土机;推土方,,土类别;运距;机械类型,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,挖掘机转堆土方,A1-1-65,挖掘机转堆土方,1000m3,挖掘机转堆土方,挖掘机;转堆土方,,机械类型;转堆次数,0.76,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,机械垂直运输土方,A1-1-66,机械垂直运输土方,100m3,机械垂直运输土方,机械垂直运输;土方,,运输高度;机械类型,0.76,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,人工凿石方,A1-1-67,人工凿一般石方 极软岩,100m3,人工凿一般石方,人工凿石方;一般石方;极软岩,,岩石类别;开挖方式,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,人工凿石方,A1-1-70,人工凿槽坑石方 极软岩,100m3,人工凿槽坑石方,人工凿石方;槽坑石方;极软岩,,岩石类别;开挖部位,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,凿岩机破碎石方,A1-1-73,凿岩机破碎岩石 极软岩,100m3,凿岩机破碎岩石,凿岩机;破碎岩石,,岩石类别;机械类型,0.84,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,液压岩石破碎机破碎石方,A1-1-78,液压岩石破碎机破碎一般石方 极软岩,100m3,液压岩石破碎机破碎一般石方,液压破碎;一般石方,,岩石类别;机械类型,0.84,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,爆破石方,A1-1-88,机械打眼爆破一般石方 极软岩,100m3,机械打眼爆破一般石方,爆破石方;机械打眼,,岩石类别;爆破方式,0.84,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,静力爆破石方,A1-1-98,静力爆破一般石方 较软岩,100m3,静力爆破一般石方,静力爆破;一般石方,,岩石类别;爆破方式,0.84,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,石方控制爆破,A1-1-104,一般石方控制爆破 极软岩,100m3,一般石方控制爆破,控制爆破;一般石方,,岩石类别;爆破方式,0.84,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,机械挖石方,A1-1-114,挖掘机挖松散石方,1000m3,挖掘机开挖松散石方,机械挖石方;松散石方,,机械类型;石方状态,0.82,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,自卸汽车运石方,A1-1-117,自卸汽车运石方 1km内,1000m3,自卸汽车运输石方,自卸汽车;运石方,,运距;运输方式,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,挖掘机转堆松散石方,A1-1-119,挖掘机转堆石方,1000m3,挖掘机转堆石方,挖掘机;转堆石方,,机械类型;转堆次数,0.76,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,石方人工场内运输,A1-1-121,人工运石方 20m内,100m3,人工场内运输石方,人工运石方;场内运输,,运距;运输方式,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.2,石方工程,人工装石方,A1-1-125,人工装石方,100m3,人工装载石方,人工装石方,,装载方式;石方类别,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.3,回填方及其他,回填土,A1-1-126,回填土 松填,100m3,回填土松填,回填土;松填,,回填材料;压实方式,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.3,回填方及其他,回填土,A1-1-127,回填土 人工夯实,100m3,回填土人工夯实,回填土;人工夯实,,回填材料;压实方式,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.3,回填方及其他,回填砂,A1-1-130,回填砂,100m3,回填砂,回填砂,,回填材料,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.3,回填方及其他,回填石屑,A1-1-131,回填石屑,100m3,回填石屑,回填石屑,,回填材料,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.3,回填方及其他,回填砂石,,回填砂石,100m3,回填砂石,回填砂石,,回填材料,0.72,pending,A.1.1 mock seed grouping row; source_code pending
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.3,回填方及其他,压路机碾压土方,A1-1-132,压路机碾压土方,1000m3,压路机碾压填土方,压路机;碾压土方,,填料类别;碾压方式,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.3,回填方及其他,压路机碾压石方,A1-1-133,压路机碾压石方,1000m3,压路机碾压填石方,压路机;碾压石方,,填料类别;碾压方式,0.78,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.3,回填方及其他,支挡土板,A1-1-134,支密板挡土板 双面,100m2,支设挡土板,支挡土板;密板;双面,,挡土板类型;支设方式,0.76,pending,A.1.1 mock seed; reference candidate only
